Id aula;Acrónimo;Nombre;Capacidad;Edificio;Observaciones;;;Edificios: ;1;Ada Byron
28;a01;Aula A.1;120;1;;;;;2;Torres Quevedo
29;a02;Aula A.2;120;1;;;;;3;Betancourt
30;a03;Aula A.3;80;1;;;;;4;Matemáticas
31;a04;Aula A.4;80;1;;;;;;
32;a05;Aula A.5;80;1;;;;;;
33;a06;Aula A.6;80;1;;;;;;
34;a07;Aula A.7;80;1;;;;;;
35;a11;Aula A.11;80;1;;;;;;
36;a12;Aula A.12;80;1;;;;;;
37;a13;Aula A.13;80;1;;;;;;
38;a14;Aula A.14;80;1;;;;;;
39;a15;Aula A.15;80;1;;;;;;
40;a21;Seminario A.21;40;1;;;;;;
41;a22;Seminario A.22;40;1;;;;;;
42;a23;Seminario A.23;40;1;;;;;;
43;a24;Seminario A.24;40;1;;;;;;
44;a25;Seminario A.25;40;1;;;;;;
45;salA1;Sala inform. A.1;15;1;Sala de Usuarios;;;;;
46;salA2;Sala inform. A.2;20;1;;;;;;
47;salA3;Sala inform. A.3;20;1;Windows 2000;;;;;
48;grA;Sala Grados A;294;1;;;;;;
49;L01;L0.01 (PC-Linux);24;1;NT+DOS. Hw esp: linea serie >> En o: intentar no ocupar M y J 17-21 (postgrs);;;;;
50;L02;L0.02 (PC-PFCs);16;1;;;;;;
51;L03;L0.03 (PC);30;1;NT+DOS >> En o: no ocupar L-J 17-21 (postgrs) en p: idem L-X;;;;;
52;L04;L0.04 (PC);30;1;"Linux vale para pract Xterm (gen o esp como FAP) y para ""Unix con CPU local""";;;;;
53;L05a;L0.05 (PC-Maquetas);12;1;NT+DOS. Hw esp: Maquetas micros (inc Xilinx). Sw esp: Matlab Labview Arena ...;;;;;
54;L05b;L0.05 (PC-PLCs);12;1;NT+DOS. Hw esp: PLCs mini micros (inc Xilinx). Sw esp: Matlab Labview Arena PL7 ...;;;;;
55;L06a;L0.06 (PC-PLCs);10;1;NT+DOS. Hw esp: Maquetas EUITI PLCs mini. Sw esp: Matlab Labview Arena PL7 ...;;;;;
56;L06b;L0.06 (PC-SFF);8;1;NT+DOS. Hw esp: SFF PLCs maxi. Sw esp: Matlab Labview Arena PL7 ...;;;;;
57;L06c;L0.06 (PC-Robots);4;1;NT+DOS. Hw & Sw esp: Matlab Robots;;;;;
58;L12;L1.02 (PC-Redes);24;1;NT+DOS. Hw esp: periféricos Zip (Linux salvaje) linea serie // Mac;;;;;
65;L44;L4.04;30;1;Laboratorio electrónica I TE;;;;;
67;L22;L2.02;30;1;Laboratorio señales y sistemas TSC;;;;;
76;L23;L2.03;30;1;Laboratorio redes IT;;;;;
77;L32;Lab. óptica (3.02);30;1;Laboratorio óptica TSC;;;;;
78;L43;L4.03;30;1;Laboratorio elctrónica II TE;;;;;
79;L36;Lab. alta frecuencia (3.06);30;1;Laboratorio alta frecuencia TSC;;;;;
93;L42;L4.02;30;1;Laboratorio elctrónica II TE;;;;;
94;L45;L4.05;30;1;Laboratorio electrónica I TE;;;;;
95;LWeln;Lab. Walqa ELN. L3.01;30;1;Laboratorio electrónica General II TE (Walqa). L3.01 Ada Byron;;;;;
150;semvirt1;Seminarios;;1;Seminarios Edif. Ada Byron;;;;;
153;optativas;Optativas;;1;Optativas Edif. Ada Byron;;;;;
155;LabDep;Laboratorio Departamental;;1;;;;;;
1;10;Aula 10;120;2;;;;;;
2;11;Aula 11;120;2;;;;;;
3;12;Aula 12;120;2;;;;;;
4;13;Aula 13;132;2;;;;;;
5;14;Aula 14;84;2;;;;;;
6;15;Aula 15;84;2;;;;;;
7;16;Aula 16;120;2;;;;;;
8;17;Aula 17;120;2;;;;;;
9;18;Aula 18;120;2;;;;;;
10;19;Aula 19;120;2;;;;;;
11;20A;Aula 20 A;70;2;;;;;;
12;20B;Aula 20 B;70;2;Aula de Taller (Arquitectura);;;;;
13;21;Aula 21;70;2;Aula de Taller (Arquitectura);;;;;
14;22;Aula 22;128;2;;;;;;
15;23;Aula 23;84;2;;;;;;
16;24;Aula 24;84;2;;;;;;
17;25;Aula 25;128;2;;;;;;
18;26;Aula 26;127;2;;;;;;
19;dir;Aula Dirección;50;2;;;;;;
20;grC;Sala Grados C;73;2;;;;;;
21;actosC;Salón Actos;498;2;;;;;;
22;anfA;"Anfiteatro ""A""";90;2;;;;;;
23;anfB;"Anfiteatro ""B""";90;2;;;;;;
24;sal3;Sala inform. 3;20;2;Antigua sala A;;;;;
25;sal4;Sala inform. 4;20;2;Antigua sala B;;;;;
26;sal5;Sala inform. 5;20;2;Antigua sala C;;;;;
27;sal6;Sala inform. 6;20;2;Antigua sala D;;;;;
59;sal7;Sala inform. 7;20;2;Antigua sala 5 (MAP);;;;;
60;sal8;Sala inform. 8;20;2;"Antigua sala 6 (EGI). 18 ordenadores pentium IV pantalla 17""";;;;;
61;sal1;Sala inform. 1;20;2;Sala de Usuarios;;;;;
62;sal2;Sala inform. 2;20;2;Parte superior cafetería antigua sala XT;;;;;
63;Lfis;Lab. Física;30;2;;;;;;
64;Lcam;Lab. Campos;30;2;;;;;;
66;Lim;Lab. Ing. Mecánica;30;2;Laboratorio Ingeniería Mecánica CPS;;;;;
72;Lme;Lab. Máq. Eléctricas;30;2;;;;;;
73;Lcir;Lab. Electrotecnia;30;2;;;;;;
74;Lmat;Lab. Materiales;30;2;;;;;;
75;Lmfr;Lab. Reología;30;2;Laboratorio de reología de mecánica de fluidos;;;;;
80;Lmfg;Lab. Gral. Mec. Fluidos;30;2;Laboratorio general de mecánica de fluidos;;;;;
83;Lie;Lab. Ing. Eléctrica;30;2;Laboratorio de Ingeniería Eléctrica;;;;;
87;taller;Aula Taller;100;2;;;;;;
89;Sipf;Sala IPF;20;2;;;;;;
96;Lidio;Sala inform. 9;0;2;;;;;;
97;Spro;Sala de proyectos;0;2;;;;;;
141;sal10;Sala inform. 10;20;2;Antigua sala ITA. Sótano Edif. Torres Quevedo;;;;;
146;T2;Sala informática Ex. Graf.;0;2;Area Expresión Grafica;;;;;
148;LabDep;Laboratorio Departamental;;2;;;;;;
151;semvirt2;Seminarios;;2;Seminarios Edif. Torres Quevedo;;;;;
68;Lqim;Lab. Integrado Química;15;3;;;;;;
69;LIQA;Lab. Ing. Química (A);15;3;Laboratorio de ingeniería química A nave 6 planta baja;;;;;
70;Scii;Sala CII;15;3;Ed. Betancourt segundo piso (MMCTE).;;;;;
71;Sim1;Sala Dpto. IM 1;20;3;Ed. Betancourt primer piso (MMT). Disponible tardes (15-21).;;;;;
81;LTMA;Lab. Ing. Med. Amb.;15;3;Laboratorio de Tecnologías del Medio Ambiente. Nave 6 primera planta;;;;;
82;Lmmt;Lab. Maq. y Mot. Ter.;30;3;Laboratorio de Máquinas y Motores Térmicos;;;;;
84;Lsim;Lab. Simulación Dow;20;3;Laboratorio de simulación nave 6 primera planta;;;;;
85;Lerm;Lab. Elast. Resist. Mat.;15;3;;;;;;
86;Sim2;Sala Dpto. IM 2;16;3;Ed. Betancourt segundo piso (MMCTE). Disponible mañanas (8-15).;;;;;
88;Siit;Sala IIT;20;3;;;;;;
90;Lqa;Lab. Quím.Analítica;15;3;;;;;;
91;LIQB;Lab. Ing. Química (B);15;3;Laboratorio de ingeniería química B nave 6 planta baja;;;;;
92;Lcont;L. Ing. Quim. (control)(control);15;3;Laboratorio de ingeniería química (control) nave 1.;;;;;
98;b001;Aula 0.01;120;3;;;;;;
99;b002;Aula 0.02;120;3;;;;;;
100;b003;Aula 0.03;120;3;;;;;;
101;b004;Aula 0.04;120;3;;;;;;
102;b101;Aula 1.01;120;3;;;;;;
103;b102;Aula 1.02;120;3;;;;;;
104;b103;Aula 1.03;120;3;;;;;;
105;b104;Aula 1.04;120;3;;;;;;
106;b105;Aula 1.05;70;3;;;;;;
107;b106;Aula 1.06;70;3;;;;;;
108;b107;Aula 1.07;70;3;;;;;;
109;b108;Aula 1.08;70;3;;;;;;
110;b109;Aula 1.09;70;3;;;;;;
111;b201;Aula 2.01;120;3;;;;;;
112;b202;Aula 2.02;120;3;;;;;;
113;b203;Aula 2.03;120;3;;;;;;
114;b204;Aula 2.04;120;3;;;;;;
115;b205;Aula 2.05;70;3;;;;;;
116;b206;Aula 2.06;70;3;;;;;;
117;b207;Aula 2.07;70;3;;;;;;
118;b208;Aula 2.08;70;3;;;;;;
119;b209;Aula 2.09;70;3;;;;;;
120;b214;Aula 2.14;20;3;;;;;;
121;b215;Aula 2.15;20;3;;;;;;
122;b216;Aula 2.16;20;3;;;;;;
123;b218;Aula 2.18;40;3;;;;;;
124;b219;Aula 2.19;40;3;;;;;;
125;b220;Aula 2.20;40;3;;;;;;
126;b221;Aula 2.21;40;3;;;;;;
127;b302;Aula 3.02;20;3;;;;;;
128;b303;Aula 3.03;20;3;;;;;;
129;b304;Aula 3.04;20;3;;;;;;
130;b305;Aula 3.05;20;3;Grado de Diseño;;;;;
131;b301;Aula 3.01;20;3;;;;;;
132;B110;Sala Inf. 110;15;3;Sala Informática Edif. Betancourt 15 Ordenadores + 1 Profesor;;;;;
133;B111;Sala Inf. 111;15;3;Sala Informática Edif. Betancourt 15 Ordenadores + 1 Profesor;;;;;
134;B210;Sala Inf. 210;15;3;Sala Informática Edif. Betancourt 15 Ordenadores + 1 Profesor;;;;;
135;B211;Sala Inf. 211;15;3;Sala Informática Edif. Betancourt 15 Ordenadores + 1 Profesor;;;;;
136;B306;Sala Inf. 306;15;3;Sala Informática Edif. Betancourt 15 Ordenadores + 1 Profesor;;;;;
137;B310;Sala Inf. 310;20;3;Sala Informática Edif. Betancourt;;;;;
138;B307;Aula 3.07;90;3;Taller Dibujo Edif. Betancourt;;;;;
139;B308;Aula 3.08;90;3;Taller Dibujo Edif. Betancourt;;;;;
140;B309;Aula 3.09;90;3;Taller Dibujo Edif. Betancourt;;;;;
142;Lqi;Lab. Quím.Inorgánica;15;3;;;;;;
143;Lqoqf;Lab. QO y QF;15;3;;;;;;
144;Lfa;Lab. Fisica Aplicada;30;3;;;;;;
145;Lmf;Lab. Mecánica Fluidos;15;3;;;;;;
147;LimB;Lab. Ingen. Mecanica BT;0;3;Consultar al Area;;;;;
149;optativas;optativas;;3;;;;;;
152;semvirt3;Seminarios;;3;Seminarios Edif. Betancourt;;;;;
154;b212;Aula 212;20;3;;;;;;
156;B 08;B.08 Edif. Mat.;;4;;;;;;
